id,city,type,squareMeters,rooms,floor,floorCount,buildYear,ownership,buildingMaterial,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,building_age
fc7c47ece3b63c5b712ce2d94459b148,bydgoszcz,tenement,26.0,1,1.0,1.0,,condominium,brick,False,False,False,False,True,199000,7653.85,Old
507b0d95c2a126fab8a8c167c34f6258,rzeszow,unknown,74.0,4,1.0,1.0,,condominium,brick,False,False,True,False,False,489000,6608.11,Old
4adc78728f9f8ef89e6e0d1524559ecb,bydgoszcz,tenement,28.0,1,,1.0,,condominium,brick,False,False,False,False,False,200000,7142.86,Old
ed7d31db05f39d808ba343f4d99793fb,bydgoszcz,tenement,44.0,2,1.0,1.0,,condominium,brick,False,False,False,False,True,279000,6340.91,Old
844a1c61aec96f336c3f4e8a639d70a6,warszawa,unknown,77.0,3,1.0,1.0,,condominium,unknown,False,False,False,True,False,899000,11675.32,Old
9c41dbe4088a437677f12c23858ed83e,bydgoszcz,tenement,25.0,1,1.0,1.0,,condominium,brick,False,False,False,False,False,225000,9000.0,Old
fd0cda41476ccb210bf06eaa1571adc0,radom,tenement,78.55,4,1.0,1.0,,condominium,brick,False,False,False,False,False,510000,6492.68,Old
30b2e2591eee7af9ee7623463542573d,czestochowa,apartmentBuilding,83.73,4,,1.0,,condominium,brick,True,False,False,False,True,544245,6500.0,Old
da1cda7cc42d6af3d4768abdc47591fb,warszawa,unknown,134.98,6,,1.0,,condominium,unknown,False,False,False,False,False,1680000,12446.29,Old
0fdaf8677b4918004abbc7c2bb99cd69,bydgoszcz,unknown,34.49,1,,1.0,,condominium,unknown,False,False,False,False,False,206000,5972.75,Old
d250a106218308faefbcdd3f49dc1014,katowice,unknown,60.0,3,,1.0,,condominium,unknown,False,False,False,False,True,390000,6500.0,Old
54d1e9fb00bb48851fc8abbac1b0fb39,bydgoszcz,tenement,26.83,1,1.0,1.0,,condominium,brick,False,False,False,False,True,170000,6336.19,Old
bb864f042af3a3ed30533c807c17d068,lodz,unknown,88.9,3,1.0,1.0,,condominium,unknown,False,False,False,False,False,760000,8548.93,Old
b777bf6aa57561429ff7abe93da6a844,bydgoszcz,unknown,25.0,1,1.0,1.0,,condominium,brick,False,False,False,False,False,199000,7960.0,Old
2af60acfca9f2c990fd6077f68f17203,gdansk,unknown,78.0,3,,1.0,,condominium,unknown,True,False,False,False,True,1199000,15371.79,Old
e9b554e9d5b021a5bc124032a5f211f5,krakow,blockOfFlats,52.0,2,,1.0,,condominium,brick,True,False,False,False,True,535000,10288.46,Old
8ce66997c64442d2a99d32fbc9ba7864,krakow,unknown,37.0,2,1.0,1.0,,condominium,unknown,False,False,,False,False,499500,13500.0,Old
